2.29E+01	9.28E+01		
2.16E+01	1.02E+02		
3.45E+01	1.30E+02		
5.96E+01	1.74E+02		
1.06E+02	2.31E+02		
1.74E+02	2.81E+02		
2.95E+02	3.19E+02		
4.12E+02	3.11E+02		
5.66E+02	2.42E+02		
6.16E+02	1.78E+02		
6.38E+02	1.29E+02		
6.49E+02	9.52E+01		
6.59E+02	7.28E+01		
6.66E+02	5.87E+01		
6.68E+02	5.30E+01		
7.01E+02	6.86E+01		
6.75E+02	6.01E+01		
6.81E+02	7.71E+01		
6.87E+02	1.00E+02		
6.99E+02	1.36E+02		
7.14E+02	1.78E+02		
7.31E+02	2.48E+02		
7.56E+02	3.47E+02		
7.78E+02	4.67E+02		
8.33E+02	6.70E+02		
8.97E+02	9.39E+02		
