2.33E+01	9.26E+01		
2.16E+01	1.05E+02		
3.11E+01	1.35E+02		
4.73E+01	1.84E+02		
8.18E+01	2.54E+02		
1.66E+02	3.33E+02		
2.59E+02	4.32E+02		
5.02E+02	5.16E+02		
6.95E+02	4.85E+02		
8.41E+02	4.08E+02		
9.37E+02	3.23E+02		
9.99E+02	2.34E+02		
1.03E+03	1.79E+02		
1.05E+03	1.30E+02		
1.05E+03	1.04E+02		
1.07E+03	7.51E+01		
1.07E+03	1.00E+02		
1.07E+03	1.17E+02		
1.07E+03	1.48E+02		
1.09E+03	1.99E+02		
1.10E+03	2.74E+02		
1.12E+03	3.84E+02		
1.15E+03	5.37E+02		
1.17E+03	7.59E+02		
1.26E+03	1.09E+03		
1.35E+03	1.53E+03		
