1,8.7829112,8.8199288,54.0940795729593,8.8111496,8.8181992,8.8251864,8.8311816,8.837132,8.8472776
2,9.5069704,9.5478424,49.8904090820118,9.5449048,9.553876,9.5628136,9.5718128,9.5807432,9.5928072
3,7.973476,8.015584,47.922086064405,8.0136344,8.0236824,8.0324936,8.041568,8.049568,8.0605752
4,8.6237072,8.65946,57.2933196840541,8.6516512,8.6594232,8.6684784,8.6764248,8.6844376,8.6964296
5,8.8606104,8.9157664,36.6573355573282,8.9111856,8.9232296,8.925444,8.9333536,8.9402696,8.949388
6,9.480688,9.5238712,47.1578715796888,9.5197848,9.526788,9.5288464,9.5428392,9.5496984,9.5597656
7,8.4258576,8.4618288,56.1655435459498,8.4576088,8.4646192,8.4636584,8.469768,8.4786912,8.4897776
8,8.7065464,8.7445192,54.0370897063181,8.7384696,8.7454216,8.7544152,8.7634552,8.7725464,8.783516
9,8.8564288,8.903492,42.632957384963,8.8984856,8.9054416,8.9124952,8.9194648,8.9254408,8.9353544
10,9.5070016,9.5619584,36.6119752241765,9.5588472,9.5667936,9.572764,9.5768096,9.5828096,9.5918072
11,8.0809008,8.126688,43.7613918300316,8.1186712,8.12758,8.1355848,8.1426248,8.1506648,8.1625216
12,8.7237144,8.7585136,57.945803351801,8.7514984,8.7604712,8.7684656,8.7774328,8.7864584,8.7985168
13,8.8381456,8.8801832,48.8169162844707,8.8764648,8.8832952,8.8904152,8.897244,8.9005048,8.9133064
14,9.5109208,9.549772,51.7956305081932,9.5457992,9.552788,9.5587232,9.5677624,9.5748376,9.5877984
15,8.0936936,8.1305312,55.2883901231349,8.1134448,8.1205264,8.1285592,8.1355768,8.143552,8.1544544
