freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
7.0000185E+006	2.3346235E+001	-9.2625023E+001
4.7356185E+006	2.1595947E+001	-1.0531520E+002
3.2037188E+006	3.1058899E+001	-1.3482408E+002
2.1673750E+006	4.7324337E+001	-1.8422473E+002
1.4662634E+006	8.1799904E+001	-2.5403510E+002
9.9195556E+005	1.6615036E+002	-3.3250745E+002
6.7106775E+005	2.5913007E+002	-4.3219342E+002
4.5398791E+005	5.0207281E+002	-5.1632843E+002
3.0713703E+005	6.9496387E+002	-4.8541165E+002
2.0778281E+005	8.4132996E+002	-4.0823187E+002
1.4056933E+005	9.3722443E+002	-3.2263419E+002
9.5095383E+004	9.9896954E+002	-2.3384981E+002
6.4337141E+004	1.0263292E+003	-1.7870731E+002
4.3525457E+004	1.0453927E+003	-1.2990408E+002
2.9440693E+004	1.0510408E+003	-1.0432566E+002
1.9920945E+004	1.0658146E+003	-7.5076408E+001
1.3472386E+004	1.0669158E+003	-1.0044463E+002
9.1205166E+003	1.0725319E+003	-1.1711098E+002
6.3004048E+003	1.0748347E+003	-1.4816566E+002
4.1713340E+003	1.0854393E+003	-1.9949100E+002
2.8222874E+003	1.0985747E+003	-2.7432776E+002
1.9093901E+003	1.1188245E+003	-3.8423083E+002
1.2920648E+003	1.1500111E+003	-5.3675781E+002
8.7416174E+002	1.1735580E+003	-7.5867432E+002
5.9132428E+002	1.2566749E+003	-1.0886317E+003
4.0012820E+002	1.3464873E+003	-1.5278802E+003
