freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
7.0000185E+006	2.7739059E+001	-9.1323738E+001
4.7356185E+006	2.6453924E+001	-1.0016319E+002
3.2037188E+006	3.7854958E+001	-1.2885640E+002
2.1673750E+006	6.1841152E+001	-1.7368425E+002
1.4662634E+006	1.0904596E+002	-2.2734286E+002
9.9195556E+005	1.8572870E+002	-2.8060483E+002
6.7106775E+005	2.8744266E+002	-3.1235904E+002
4.5398791E+005	3.9324411E+002	-3.0852737E+002
3.0713703E+005	5.4564685E+002	-2.5693637E+002
2.0778281E+005	5.9449457E+002	-2.0737320E+002
1.4056933E+005	6.2498444E+002	-1.7646819E+002
9.5095383E+004	6.4469171E+002	-1.6177512E+002
6.4337141E+004	6.6797858E+002	-1.6177051E+002
4.3525457E+004	6.9050165E+002	-1.7564197E+002
2.9440693E+004	7.1436273E+002	-2.0907851E+002
1.9920945E+004	7.5023889E+002	-2.5356837E+002
1.3472386E+004	7.8676434E+002	-3.1532883E+002
9.1205166E+003	8.3281976E+002	-3.9982346E+002
6.3004048E+003	8.8647888E+002	-5.1043332E+002
4.1713340E+003	9.7633185E+002	-6.8622821E+002
2.8222874E+003	1.0806233E+003	-8.8937567E+002
1.9093901E+003	1.2556439E+003	-1.1824896E+003
1.2920648E+003	1.4169272E+003	-1.5422794E+003
8.7416174E+002	1.6489674E+003	-2.0533521E+003
5.9132428E+002	2.0233812E+003	-2.6589709E+003
4.0012820E+002	2.4602258E+003	-3.4758530E+003
