freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
2.0778281E+005	2.8724988E+002	-5.8675678E+001
1.4056933E+005	2.9331357E+002	-4.8097359E+001
9.5095383E+004	2.9658936E+002	-4.6067802E+001
6.4337141E+004	3.0367206E+002	-4.1524403E+001
4.3525457E+004	3.0656329E+002	-4.5699673E+001
2.9440693E+004	3.1073880E+002	-5.3984974E+001
1.9920945E+004	3.1181400E+002	-1.0088927E+002
1.3472386E+004	3.2434717E+002	-8.8957726E+001
9.1205166E+003	3.3498700E+002	-1.1595569E+002
6.3004048E+003	3.4781308E+002	-1.5365221E+002
4.1713340E+003	3.6576401E+002	-2.1465138E+002
2.8222874E+003	3.8872726E+002	-2.9439224E+002
1.9093901E+003	4.2395718E+002	-4.0177930E+002
1.2920648E+003	4.6864056E+002	-5.4850494E+002
8.7416174E+002	5.3051227E+002	-7.6822400E+002
5.9132428E+002	6.3084430E+002	-1.0452489E+003
4.0012820E+002	7.6807599E+002	-1.4343423E+003
7.0000185E+006	3.1981508E+001	-8.3878059E+001
4.7356185E+006	3.2630589E+001	-9.1780281E+001
3.2037188E+006	5.1640289E+001	-1.1002009E+002
2.1673750E+006	8.3920113E+001	-1.3017383E+002
1.4662634E+006	1.3119249E+002	-1.4398650E+002
9.9195556E+005	1.8596732E+002	-1.3779213E+002
6.7106775E+005	2.2618803E+002	-1.2101622E+002
4.5398791E+005	2.5423421E+002	-9.2991493E+001
3.0713703E+005	2.7441428E+002	-7.3926750E+001
2.0778281E+005	2.8409991E+002	-5.6568356E+001
1.4056933E+005	2.8961417E+002	-4.6864960E+001
9.5095383E+004	2.9870746E+002	-3.1780296E+001
6.4337141E+004	2.9926428E+002	-4.1502922E+001
4.3525457E+004	3.0360559E+002	-4.5104603E+001
2.9440693E+004	3.0704575E+002	-5.2003738E+001
1.9920945E+004	3.1444449E+002	-6.8932518E+001
1.3472386E+004	3.2017841E+002	-8.4909622E+001
9.1205166E+003	3.3064630E+002	-1.1372551E+002
6.3004048E+003	3.4217780E+002	-1.5292487E+002
4.1713340E+003	3.6087036E+002	-2.1247115E+002
2.8222874E+003	3.8545856E+002	-2.9209540E+002
1.9093901E+003	4.1616147E+002	-3.9724542E+002
1.2920648E+003	4.6417523E+002	-5.5486377E+002
8.7416174E+002	5.2897028E+002	-7.5923224E+002
5.9132428E+002	6.2416058E+002	-1.0442596E+003
4.0012820E+002	7.6637531E+002	-1.4286926E+003
7.0000185E+006	3.1858980E+001	-8.3767189E+001
