freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
7.0000185E+006	2.6168863E+001	-9.1499886E+001
4.7356185E+006	2.3479815E+001	-1.0480030E+002
3.2037188E+006	3.2811790E+001	-1.3434747E+002
2.1673750E+006	4.9445259E+001	-1.8389981E+002
1.4662634E+006	8.6381279E+001	-2.5079904E+002
9.9195556E+005	1.7183478E+002	-3.3696436E+002
6.7106775E+005	2.6318396E+002	-4.1853192E+002
4.5398791E+005	5.1549023E+002	-4.9275784E+002
3.0713703E+005	6.8414771E+002	-4.5420538E+002
2.0778281E+005	8.1700757E+002	-3.7444290E+002
1.4056933E+005	9.0397357E+002	-2.9192221E+002
9.5095383E+004	9.6906934E+002	-2.1317418E+002
6.4337141E+004	9.7896075E+002	-1.6196594E+002
4.3525457E+004	9.9724091E+002	-1.2255847E+002
2.9440693E+004	1.0053163E+003	-9.9375809E+001
1.9920945E+004	1.0124730E+003	-6.6496933E+001
1.3472386E+004	1.0154150E+003	-9.2993988E+001
9.1205166E+003	1.0182771E+003	-1.1068680E+002
6.3004048E+003	1.0239260E+003	-1.4025252E+002
4.1713340E+003	1.0241324E+003	-1.7348486E+002
2.8222874E+003	1.0403400E+003	-2.6545602E+002
1.9093901E+003	1.0563496E+003	-3.7874789E+002
1.2920648E+003	1.0876671E+003	-5.2842682E+002
8.7416174E+002	1.1922361E+003	-7.8203149E+002
5.9132428E+002	1.1872947E+003	-1.0470116E+003
4.0012820E+002	1.2650948E+003	-1.4819603E+003
